cid,identity,score
1_8,(none),86.0
2_2,1_8~CUW~1_2#MGNP,73.0
2_3,1_2~CUW~1_24#MUR,80.0
2_4,1_22~CUW~1_5#MGNP,79.0
2_5,1_8~CUW~1_2#MUR,52.0
2_6,1_5~CUW~1_24#MGNP,69.0
2_7,1_22~CUW~1_24#MGNF,80.0
2_8,1_8~CUW~1_2#MGNF,84.0
2_9,1_22~CUW~1_5#MUR,41.0
2_10,1_8~CUW~1_22#MGNP,37.0
2_11,1_22~CUW~1_24#MGNF,86.0
2_12,1_24~CUW~1_22#MGNF,86.0
2_13,1_24~CUW~1_8,51.0
2_14,1_8~CUW~1_24#MGNP,84.0
2_15,1_8~CUW~1_22#MGNP,77.0
2_16,1_8~CUW~1_5#MUR,84.0
2_17,1_24~CUW~1_2#MUR,53.0
2_18,1_24~CUW~1_5#MGNF,72.0
2_19,1_5~CUW~1_24#MGNF,82.0
2_20,1_8~CUW~1_22#MUR,83.0
2_21,1_2~CUW~1_22,51.0
2_22,1_8~CUW~1_22,86.0
2_23,1_24~CUW~1_22,86.0
2_24,1_8~CUW~1_22,86.0
2_25,1_2~CUW~1_5#MGNF,36.0
