cid,identity,score
1_1,(none),10.0
2_2,1_2~CUW~1_4#MGNF,10.0
2_3,1_3~CUW~1_5#MUR,10.0
2_4,1_5~CUW~1_3#MGNP,10.0
2_5,1_3~CUW~1_1#MUR,10.0
2_6,1_4~CUW~1_1#MGNF,10.0
2_7,1_4~CUW~1_3,10.0
2_8,1_2~CUW~1_5#MGNF,10.0
2_9,1_3~CUW~1_1#MGNF,10.0
2_10,1_2~CUW~1_4#MGNP,10.0
2_11,1_3~CUW~1_4#MGNP,10.0
2_12,1_1~CUW~1_5#MGNF,10.0
2_13,1_3~CUW~1_4#MUR,10.0
2_14,1_4~CUW~1_2#MGNP,10.0
2_15,1_2~CUW~1_3#MGNF,10.0
2_16,1_5~CUW~1_1#MGNF,10.0
2_17,1_1~CUW~1_4#MUR,10.0
2_18,1_2~CUW~1_5#MGNP,10.0
2_19,1_3~CUW~1_4#MGNP,10.0
2_20,1_3~CUW~1_2#MGNF,10.0
2_21,1_1~CUW~1_5#MGNP,10.0
2_22,1_4~CUW~1_3#MUR,10.0
2_23,1_5~CUW~1_2,10.0
2_24,1_5~CUW~1_2,10.0
2_25,1_2~CUW~1_5#MGNP,10.0
